entrez_id,gene_symbol,gene_name,organism,chromosome,map_location,summary,other_designations,chr_accession,chr_start,chr_stop,node_id
684,BST2,bone marrow stromal cell antigen 2,Homo sapiens,19,19p13.11,"Bone marrow stromal cells are involved in the growth and development of B-cells. The specific function of the protein encoded by the bone marrow stromal cell antigen 2 is undetermined; however, this protein may play a role in pre-B-cell growth and in rheumatoid arthritis. [provided by RefSeq, Jul 2008]",bone marrow stromal antigen 2|BST-2|HM1.24 antigen|NPC-A-7|antiviral factor tetherin,NC_000019.10,17405629,17402938,107149
821,CANX,calnexin,Homo sapiens,5,5q35.3,"This gene encodes a member of the calnexin family of molecular chaperones. The encoded protein is a calcium-binding, endoplasmic reticulum (ER)-associated protein that interacts transiently with newly synthesized N-linked glycoproteins, facilitating protein folding and assembly. It may also play a central role in the quality control of protein folding by retaining incorrectly folded protein subunits within the ER for degradation. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jun 2018]",calnexin|epididymis secretory sperm binding protein|major histocompatibility complex class I antigen-binding protein p88,NC_000005.10,179678655,179731640,107271
867,CBL,Cbl proto-oncogene,Homo sapiens,11,11q23.3,"This gene is a proto-oncogene that encodes a RING finger E3 ubiquitin ligase. The encoded protein is one of the enzymes required for targeting substrates for degradation by the proteasome. This protein mediates the transfer of ubiquitin from ubiquitin conjugating enzymes (E2) to specific substrates. This protein also contains an N-terminal phosphotyrosine binding domain that allows it to interact with numerous tyrosine-phosphorylated substrates and target them for proteasome degradation. As such it functions as a negative regulator of many signal transduction pathways. This gene has been found to be mutated or translocated in many cancers including acute myeloid leukaemia, and expansion of CGG repeats in the 5' UTR has been associated with Jacobsen syndrome. Mutations in this gene are also the cause of Noonan syndrome-like disorder. [provided by RefSeq, Jul 2016]","E3 ubiquitin-protein ligase CBL|Cas-Br-M (murine) ecotropic retroviral transforming sequence|Cbl proto-oncogene, E3 ubiquitin protein ligase|RING finger protein 55|RING-type E3 ubiquitin transferase CBL|casitas B-lineage lymphoma proto-oncogene|fragile site, folic acid type, rare, fra(11)(q23.3)|oncogene CBL2|proto-oncogene c-Cbl|signal transduction protein CBL",NC_000011.10,119206338,119308148,107315
949,SCARB1,scavenger receptor class B member 1,Homo sapiens,12,12q24.31,"The protein encoded by this gene is a plasma membrane receptor for high density lipoprotein cholesterol (HDL). The encoded protein mediates cholesterol transfer to and from HDL. In addition, this protein is a receptor for hepatitis C virus glycoprotein E2 and facilitates cell entry by the virus, SARS-CoV2. [provided by RefSeq, Oct 2021]","scavenger receptor class B member 1|CD36 and LIMPII analogous 1|CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 1|scavenger receptor class B type III",NC_000012.12,124863863,124776855,107387
961,CD47,CD47 molecule,Homo sapiens,3,3q13.12,"This gene encodes a membrane protein, which is involved in the increase in intracellular calcium concentration that occurs upon cell adhesion to extracellular matrix. The encoded protein is also a receptor for the C-terminal cell binding domain of thrombospondin, and it may play a role in membrane transport and signal transduction. This gene has broad tissue distribution, and is reduced in expression on Rh erythrocytes. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2010]","leukocyte surface antigen CD47|CD47 antigen (Rh-related antigen, integrin-associated signal transducer)|CD47 glycoprotein|Rh-related antigen|antigen identified by monoclonal antibody 1D8|antigenic surface determinant protein OA3|integrin associated protein|integrin-associated signal transducer",NC_000003.12,108091030,108043090,107399
998,CDC42,cell division cycle 42,Homo sapiens,1,1p36.12,"The protein encoded by this gene is a small GTPase of the Rho-subfamily, which regulates signaling pathways that control diverse cellular functions including cell morphology, migration, endocytosis and cell cycle progression. This protein is highly similar to Saccharomyces cerevisiae Cdc 42, and is able to complement the yeast cdc42-1 mutant. The product of oncogene Dbl was reported to specifically catalyze the dissociation of GDP from this protein. This protein could regulate actin polymerization through its direct binding to Neural Wiskott-Aldrich syndrome protein (N-WASP), which subsequently activates Arp2/3 complex. Alternative splicing of this gene results in multiple transcript variants. Pseudogenes of this gene have been identified on chromosomes 3, 4, 5, 7, 8 and 20. [provided by RefSeq, Apr 2013]","cell division control protein 42 homolog|G25K GTP-binding protein|GTP binding protein, 25kDa|dJ224A6.1.1 (cell division cycle 42 (GTP-binding protein, 25kD))|dJ224A6.1.2 (cell division cycle 42 (GTP-binding protein, 25kD))|growth-regulating protein|small GTP binding protein CDC42",NC_000001.11,22052708,22101359,107433
1000,CDH2,cadherin 2,Homo sapiens,18,18q12.1,"This gene encodes a classical cadherin and member of the cadherin superfamily. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein is proteolytically processed to generate a calcium-dependent cell adhesion molecule and glycoprotein. This protein plays a role in the establishment of left-right asymmetry, development of the nervous system and the formation of cartilage and bone. [provided by RefSeq, Nov 2015]","cadherin-2|N-cadherin 1|cadherin 2, type 1, N-cadherin (neuronal)|calcium-dependent adhesion protein, neuronal|neural cadherin",NC_000018.10,28177129,27932878,107435
1045,CDX2,caudal type homeobox 2,Homo sapiens,13,13q12.2,"This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded protein is a major regulator of intestine-specific genes involved in cell growth an differentiation. This protein also plays a role in early embryonic development of the intestinal tract. Aberrant expression of this gene is associated with intestinal inflammation and tumorigenesis. [provided by RefSeq, Jan 2012]",homeobox protein CDX-2|caudal type homeobox transcription factor 2|caudal-type homeobox protein 2|homeobox protein miniCDX2,NC_000013.11,27969314,27960917,107475
1104,RCC1,regulator of chromosome condensation 1,Homo sapiens,1,1p35.3,"Enables several functions, including guanyl-nucleotide exchange factor activity; nucleosomal DNA binding activity; and protein heterodimerization activity. Involved in G1/S transition of mitotic cell cycle; regulation of mitotic nuclear division; and spindle organization. Located in chromatin; cytoplasm; and nuclear lumen. Part of protein-containing complex. [provided by Alliance of Genome Resources, Apr 2025]",regulator of chromosome condensation|cell cycle regulatory protein|guanine nucleotide-releasing protein,NC_000001.11,28506042,28538988,107529
1265,CNN2,calponin 2,Homo sapiens,19,19p13.3,"The protein encoded by this gene, which can bind actin, calmodulin, troponin C, and tropomyosin, may function in the structural organization of actin filaments. The encoded protein could play a role in smooth muscle contraction and cell adhesion. Several pseudogenes of this gene have been identified, and are present on chromosomes 1, 2, 3, 6, 9, 11, 13, 15, 16, 21 and 22. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2015]","calponin-2|calponin H2, smooth muscle|neutral calponin",NC_000019.10,1026607,1039064,107665
1272,CNTN1,contactin 1,Homo sapiens,12,12q12,"The protein encoded by this gene is a member of the immunoglobulin superfamily. It is a glycosylphosphatidylinositol (GPI)-anchored neuronal membrane protein that functions as a cell adhesion molecule. It may play a role in the formation of axon connections in the developing nervous system. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]",contactin-1|glycoprotein gP135|neural cell surface protein F3,NC_000012.12,40692438,41072414,107672
1314,COPA,coat protein complex I subunit alpha,Homo sapiens,1,1q23.2,"In eukaryotic cells, protein transport between the endoplasmic reticulum and Golgi compartments is mediated in part by non-clathrin-coated vesicular coat proteins (COPs). Seven coat proteins have been identified, and they represent subunits of a complex known as coatomer. The subunits are designated alpha-COP, beta-COP, beta-prime-COP, gamma-COP, delta-COP, epsilon-COP, and zeta-COP. The alpha-COP, encoded by COPA, shares high sequence similarity with RET1P, the alpha subunit of the coatomer complex in yeast. Also, the N-terminal 25 amino acids of alpha-COP encode the bioactive peptide, xenin, which stimulates exocrine pancreatic secretion and may act as a gastrointestinal hormone. Alternative splicing results in multiple splice forms encoding distinct isoforms. [provided by RefSeq, Jul 2008]",coatomer subunit alpha|COPI coat complex subunit alpha|alpha coat protein|coatomer protein complex subunit alpha|proxenin|xenin,NC_000001.11,160343249,160288593,107709
1317,SLC31A1,solute carrier family 31 member 1,Homo sapiens,9,9q32,"The protein encoded by this gene is a high-affinity copper transporter found in the cell membrane. The encoded protein functions as a homotrimer to effect the uptake of dietary copper. [provided by RefSeq, Aug 2011]","high affinity copper uptake protein 1|copper transport 1 homolog|copper transporter 1|solute carrier family 31 (copper transporter), member 1|solute carrier family 31 (copper transporters), member 1",NC_000009.12,113221543,113264491,107712
1380,CR2,complement C3d receptor 2,Homo sapiens,1,1q32.2,"This gene encodes a membrane protein, which functions as a receptor for Epstein-Barr virus (EBV) binding on B and T lymphocytes. Genetic variations in this gene are associated with susceptibility to systemic lupus erythematosus type 9 (SLEB9). Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009]",complement receptor type 2|EBV receptor|complement component (3d/Epstein Barr virus) receptor 2|complement component 3d receptor 2,NC_000001.11,207454327,207489891,107771
1408,CRY2,cryptochrome circadian regulator 2,Homo sapiens,11,11p11.2,"This gene encodes a flavin adenine dinucleotide-binding protein that is a key component of the circadian core oscillator complex, which regulates the circadian clock. This gene is upregulated by CLOCK/ARNTL heterodimers but then represses this upregulation in a feedback loop using PER/CRY heterodimers to interact with CLOCK/ARNTL. Polymorphisms in this gene have been associated with altered sleep patterns. The encoded protein is widely conserved across plants and animals. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2014]",cryptochrome-2|cryptochrome 2 (photolyase-like)|cryptochrome circadian clock 2|growth-inhibiting protein 37,NC_000011.10,45847117,45883243,107798
1434,CSE1L,chromosome segregation 1 like,Homo sapiens,20,20q13.13,"Proteins that carry a nuclear localization signal (NLS) are transported into the nucleus by the importin-alpha/beta heterodimer. Importin-alpha binds the NLS, while importin-beta mediates translocation through the nuclear pore complex. After translocation, RanGTP binds importin-beta and displaces importin-alpha. Importin-alpha must then be returned to the cytoplasm, leaving the NLS protein behind. The protein encoded by this gene binds strongly to NLS-free importin-alpha, and this binding is released in the cytoplasm by the combined action of RANBP1 and RANGAP1. In addition, the encoded protein may play a role both in apoptosis and in cell proliferation. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jan 2012]",exportin-2|BCR/ABL fusion protein|BCR/ABL1 fusion|CSE1 chromosome segregation 1-like|cellular apoptosis susceptibility protein|chromosome segregation 1-like protein|epididymis secretory sperm binding protein|exp2|importin-alpha re-exporter,NC_000020.11,49046311,49096948,107821
1466,CSRP2,cysteine and glycine rich protein 2,Homo sapiens,12,12q21.2,"CSRP2 is a member of the CSRP family of genes, encoding a group of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. CRP2 contains two copies of the cysteine-rich amino acid sequence motif (LIM) with putative zinc-binding activity, and may be involved in regulating ordered cell growth. Other genes in the family include CSRP1 and CSRP3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]","cysteine and glycine-rich protein 2|LIM domain only 5, smooth muscle|LIM domain only protein 5|LMO-5|cysteine-rich protein 2|epididymis secretory sperm binding protein|smooth muscle cell LIM protein",NC_000012.12,76879018,76858708,107848
1514,CTSL,cathepsin L,Homo sapiens,9,9q21.33,"The protein encoded by this gene is a lysosomal cysteine proteinase that plays a major role in intracellular protein catabolism. Its substrates include collagen and elastin, as well as alpha-1 protease inhibitor, a major controlling element of neutrophil elastase activity. The encoded protein has been implicated in several pathologic processes, including myofibril necrosis in myopathies and in myocardial ischemia, and in the renal tubular response to proteinuria. This protein, which is a member of the peptidase C1 family, is a dimer composed of disulfide-linked heavy and light chains, both produced from a single protein precursor. Additionally, this protein cleaves the S1 subunit of the SARS-CoV-2 spike protein, which is necessary for entry of the virus into the cell. [provided by RefSeq, Aug 2020]",procathepsin L|cathepsin L1|major excreted protein,NC_000009.12,87726118,87731468,107894
1613,DAPK3,death associated protein kinase 3,Homo sapiens,19,19p13.3,"Death-associated protein kinase 3 (DAPK3) induces morphological changes in apoptosis when overexpressed in mammalian cells.  These results suggest that DAPK3 may play a role in the induction of apoptosis. [provided by RefSeq, Jul 2008]",death-associated protein kinase 3|DAP kinase 3|DAP-like kinase|MYPT1 kinase|ZIP-kinase|zipper-interacting protein kinase,NC_000019.10,3971098,3958452,107983
1642,DDB1,damage specific DNA binding protein 1,Homo sapiens,11,11q12.2,"The protein encoded by this gene is the large subunit (p127) of the heterodimeric DNA damage-binding (DDB) complex while another protein (p48) forms the small subunit. This protein complex functions in nucleotide-excision repair and binds to DNA following UV damage. Defective activity of this complex causes the repair defect in patients with xeroderma pigmentosum complementation group E (XPE) - an autosomal recessive disorder characterized by photosensitivity and early onset of carcinomas. However, it remains for mutation analysis to demonstrate whether the defect in XPE patients is in this gene or the gene encoding the small subunit. In addition, Best vitelliform mascular dystrophy is mapped to the same region as this gene on 11q, but no sequence alternations of this gene are demonstrated in Best disease patients. The protein encoded by this gene also functions as an adaptor molecule for the cullin 4 (CUL4) ubiquitin E3 ligase complex by facilitating the binding of substrates to this complex and the ubiquitination of proteins. [provided by RefSeq, May 2012]","DNA damage-binding protein 1|DDB p127 subunit|DNA damage-binding protein a|HBV X-associated protein 1|UV-DDB 1|UV-damaged DNA-binding factor|UV-damaged DNA-binding protein 1|XAP-1|XPE-binding factor|damage-specific DNA binding protein 1, 127kDa|xeroderma pigmentosum group E-complementing protein",NC_000011.10,61333104,61299450,108009
1824,DSC2,desmocollin 2,Homo sapiens,18,18q12.1,"This gene encodes a member of the desmocollin protein subfamily. Desmocollins, along with desmogleins, are cadherin-like transmembrane glycoproteins that are major components of the desmosome. Desmosomes are cell-cell junctions that help resist shearing forces and are found in high concentrations in cells subject to mechanical stress. This gene is found in a cluster with other desmocollin family members on chromosome 18. Mutations in this gene are associated with arrhythmogenic right ventricular dysplasia-11, and reduced protein expression has been described in several types of cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2015]",desmocollin-2|cadherin family member 2|desmosomal glycoprotein II/III,NC_000018.10,31102420,31058839,108158
1829,DSG2,desmoglein 2,Homo sapiens,18,18q12.1,"This gene encodes a member of the desmoglein family and cadherin cell adhesion molecule superfamily of proteins. Desmogleins are calcium-binding transmembrane glycoprotein components of desmosomes, cell-cell junctions between epithelial, myocardial, and other cell types. The encoded preproprotein is proteolytically processed to generate the mature glycoprotein. This gene is present in a gene cluster with other desmoglein gene family members on chromosome 18. Mutations in this gene have been associated with arrhythmogenic right ventricular dysplasia, familial, 10. [provided by RefSeq, Jan 2016]",desmoglein-2|cadherin family member 5,NC_000018.10,31498176,31549007,108163
1859,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A,Homo sapiens,21,21q22.13,"This gene encodes a member of the Dual-specificity tyrosine phosphorylation-regulated kinase (DYRK) family. This member contains a nuclear targeting signal sequence, a protein kinase domain, a leucine zipper motif, and a highly conservative 13-consecutive-histidine repeat. It catalyzes its autophosphorylation on serine/threonine and tyrosine residues. It may play a significant role in a signaling pathway regulating cell proliferation and may be involved in brain development. This gene is a homolog of Drosophila mnb (minibrain) gene and rat Dyrk gene. It is localized in the Down syndrome critical region of chromosome 21, and is considered to be a strong candidate gene for learning defects associated with Down syndrome. Alternative splicing of this gene generates several transcript variants differing from each other either in the 5' UTR or in the 3' coding region. These variants encode at least five different isoforms. [provided by RefSeq, Jul 2008]",dual specificity tyrosine-phosphorylation-regulated kinase 1A|MNB/DYRK protein kinase|dual specificity YAK1-related kinase|dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1A|mnb protein kinase homolog hp86|protein kinase minibrain homolog|serine/threonine kinase MNB|serine/threonine-specific protein kinase,NC_000021.9,37365572,37526357,108192
1947,EFNB1,ephrin B1,Homo sapiens,X,Xq13.1,"The protein encoded by this gene is a type I membrane protein and a ligand of Eph-related receptor tyrosine kinases. It may play a role in cell adhesion and function in the development or maintenance of the nervous system. [provided by RefSeq, Jul 2008]",ephrin-B1|ELK ligand|eph-related receptor tyrosine kinase ligand 2,NC_000023.11,68829020,68842159,108267
1949,EFNB3,ephrin B3,Homo sapiens,17,17p13.1," EFNB3, a member of the ephrin gene family, is important in brain development as well as in its maintenance. Moreover, since levels of EFNB3 expression were particularly high in several forebrain subregions compared to other brain subregions, it may play a pivotal role in forebrain function.  The EPH and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, particularly in the nervous system. EPH Receptors typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin ligands and receptors have been named by the Eph Nomenclature Committee (1997). Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are similarly divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. [provided by RefSeq, Jul 2008]",ephrin-B3|EPH-related receptor transmembrane ligand ELK-L3|eph-related receptor tyrosine kinase ligand 8,NC_000017.11,7705201,7711371,108269
1952,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,Homo sapiens,1,1p13.3,"The protein encoded by this gene is a member of the flamingo subfamily, part of the cadherin superfamily. The flamingo subfamily consists of nonclassic-type cadherins; a subpopulation that does not interact with catenins. The flamingo cadherins are located at the plasma membrane and have nine cadherin domains, seven epidermal growth factor-like repeats and two laminin A G-type repeats in their ectodomain. They also have seven transmembrane domains, a characteristic unique to this subfamily. It is postulated that these proteins are receptors involved in contact-mediated communication, with cadherin domains acting as homophilic binding regions and the EGF-like domains involved in cell adhesion and receptor-ligand interactions. The specific function of this particular member has not been determined. [provided by RefSeq, Jul 2008]","cadherin EGF LAG seven-pass G-type receptor 2|EGF-like protein 2|EGF-like-domain, multiple 2|adhesion G protein-coupled receptor C2|cadherin family member 10|cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)|epidermal growth factor-like 2|epidermal growth factor-like protein 2|flamingo homolog 3|multiple EGF like domains 3|multiple EGF-like domains protein 3|multiple epidermal growth factor-like domains 3|multiple epidermal growth factor-like domains protein 3",NC_000001.11,109249538,109275750,108272
1956,EGFR,epidermal growth factor receptor,Homo sapiens,7,7p11.2,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020]",epidermal growth factor receptor|EGFR vIII|avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|cell growth inhibiting protein 40|cell proliferation-inducing protein 61|epidermal growth factor receptor tyrosine kinase domain|erb-b2 receptor tyrosine kinase 1|proto-oncogene c-ErbB-1|receptor tyrosine-protein kinase erbB-1,NC_000007.14,55019016,55211627,108276
1969,EPHA2,EPH receptor A2,Homo sapiens,1,1p36.13,"This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. This gene encodes a protein that binds ephrin-A ligands. Mutations in this gene are the cause of certain genetically-related cataract disorders.[provided by RefSeq, May 2010]",ephrin type-A receptor 2|epithelial cell receptor protein tyrosine kinase|tyrosine-protein kinase receptor ECK,NC_000001.11,16156068,16124336,108288
2273,FHL1,four and a half LIM domains 1,Homo sapiens,X,Xq26.3,"This gene encodes a member of the four-and-a-half-LIM-only protein family. Family members contain two highly conserved, tandemly arranged, zinc finger domains with four highly conserved cysteines binding a zinc atom in each zinc finger. Expression of these family members occurs in a cell- and tissue-specific mode and these proteins are involved in many cellular processes. Mutations in this gene have been found in patients with Emery-Dreifuss muscular dystrophy. Multiple alternately spliced transcript variants which encode different protein isoforms have been described.[provided by RefSeq, Nov 2009]","four and a half LIM domains protein 1|LIM protein SLIMMER|four-and-a-half Lin11, Isl-1 and Mec-3 domains 1|skeletal muscle LIM-protein 1",NC_000023.11,136146701,136211358,108564
