#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2659374	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Glende J (2008)	PUBMED:18814896	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2659487	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Wong SK (2004)	PUBMED:14670965	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2659488	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Ho TY (2006)	PUBMED:16337697	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2659489	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Lang J (2011)	PUBMED:21887302	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2659490	1489668	6441	4383915	112339	SARS-CoV-2	-	S	SFTPD	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	COLEC7|PSP-D|SFTP4|SP-D	Reconstituted Complex	physical	Leth-Larsen R (2007)	PUBMED:17412287	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P35247	-	NP_003010	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2659698	1489674	1489668	4383920	4383915	SARS-CoV-7a	SARS-CoV-2	ORF7a	S	7a|ns7a|U122|X4|SARS-CoV sars7a|ORF7a|SARS-CoV ORF7a|U122|X4|NS7A_CVHSA|PRO_0000037435	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Two-hybrid	physical	von Brunn A (2007)	PUBMED:17520018	694009	694009	High Throughput	-	-	-	-	BIOGRID	P59635	-	NP_828857	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2659705	1489677	1489668	4383923	4383915	SARS-CoV-8b	SARS-CoV-2	ORF8b	S	8b|ns8b|SARS-CoV sars8b|ORF8b|SARS-CoV ORF8b|NS8B_CVHSA|PRO_0000106135	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Two-hybrid	physical	von Brunn A (2007)	PUBMED:17520018	694009	694009	High Throughput	-	-	-	-	BIOGRID	Q80H93	-	NP_849177	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2660021	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Hsu CH (2004)	PUBMED:15474492	694009	694009	Low Throughput	-	-	dimerization of HR-N and HR-C peptides	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2660834	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Co-crystal Structure	physical	Li F (2005)	PUBMED:16166518	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2661822	7113	1489668	112968	4383915	-	SARS-CoV-2	TMPRSS2	S	PP9284|PRSS10	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Biochemical Activity	physical	Bestle D (2020)	DOI:10.1101/2020.04.15.042085	9606	694009	Low Throughput	-	Proteolytic Processing	MPRSS2 processes the  S2' site of the coronavirus Spike protein.|The viral Spike (S) protein must be cleaved to trigger fusion of viral and cellular membranes during virus entry in order to release the virus genome into the host cell.	-	BIOGRID	O15393	-	NP_001128571|NP_005647	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2661823	5045	1489668	111082	4383915	-	SARS-CoV-2	FURIN	S	FUR|PACE|PCSK3|SPC1	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Biochemical Activity	physical	Bestle D (2020)	DOI:10.1101/2020.04.15.042085	9606	694009	Low Throughput	-	Proteolytic Processing	Furin processes the S1/S2 site of the coronavirus Spike protein.|The viral Spike (S) protein must be cleaved to trigger fusion of viral and cellular membranes during virus entry in order to release the virus genome into the host cell.	-	BIOGRID	P09958	A0A024RC70	NP_001369550|NP_001369549|NP_001369548|NP_002560|NP_001276753|NP_001276752	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2689522	1489668	7431	4383915	113272	SARS-CoV-2	RP11-124N14.1	S	VIM	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CTRCT30|HEL113	Co-localization	physical	Yu YT (2016)	PUBMED:26801988	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P08670	V9HWE1	NP_003371	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2689523	1489668	7431	4383915	113272	SARS-CoV-2	RP11-124N14.1	S	VIM	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CTRCT30|HEL113	Far Western	physical	Yu YT (2016)	PUBMED:26801988	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P08670	V9HWE1	NP_003371	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2689535	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li W (2005)	PUBMED:15791205	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2690247	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Chakraborti S (2005)	PUBMED:16122388	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2690262	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Sui J (2004)	PUBMED:14983044	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2692282	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Xu Y (2004)	PUBMED:15518555	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2692292	7113	1489668	112968	4383915	-	SARS-CoV-2	TMPRSS2	S	PP9284|PRSS10	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Biochemical Activity	physical	Shulla A (2011)	PUBMED:21068237	9606	694009	Low Throughput	-	Proteolytic Processing	-	-	BIOGRID	O15393	-	NP_001128571|NP_005647	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2692298	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Li W (2003)	PUBMED:14647384	9606	694009	Low Throughput	-	-	-	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2692383	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Mathewson AC (2008)	PUBMED:18931070	9606	694009	Low Throughput	-	-	-	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2692402	30835	1489668	119051	4383915	-	SARS-CoV-2	CD209	S	CDSIGN|CLEC4L|DC-SIGN|DC-SIGN1	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Jeffers SA (2004)	PUBMED:15496474	9606	694009	Low Throughput	-	-	-	-	BIOGRID	Q9NNX6	B4E2A8|X6RB12|B2R907|M0R0P0	NP_066978|NP_001138367|NP_001138366|NP_001138365|NP_001138371|NP_001138369|NP_001138368	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2692405	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Protein-peptide	physical	Yan Z (2006)	PUBMED:16765058	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2692511	1489671	1489668	4383914	4383915	SARS-CoV-4	SARS-CoV-2	E	S	ORF4|sM|4|protein E|protein sM|small envelope protein|env|envelope|SARS-CoV E|SARS-CoV Env|VEMP_CVHSA|PRO_0000106074	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Affinity Capture-MS	physical	Alvarez E (2010)	PUBMED:20409569	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59637	-	NP_828854	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2693237	1514	1489668	107894	4383915	RP11-65B23.1	SARS-CoV-2	CTSL	S	CATL|CTSL1|MEP	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Biochemical Activity	physical	Bosch BJ (2008)	PUBMED:18562523	9606	694009	Low Throughput	-	Proteolytic Processing	-	-	BIOGRID	P07711	A0A024R276|Q9HBQ7	NP_001244901|NP_001244900|NP_001244902|NP_001903|NP_001369686|NP_001369687|NP_666023	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2693254	9407	1489668	114803	4383915	-	SARS-CoV-2	TMPRSS11D	S	HAT	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Biochemical Activity	physical	Bertram S (2011)	PUBMED:21994442	9606	694009	Low Throughput	-	Proteolytic Processing	-	-	BIOGRID	O60235	B4DL57	NP_004253	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2693260	1489668	821	4383915	107271	SARS-CoV-2	-	S	CANX	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CNX|IP90|P90	Reconstituted Complex	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P27824	-	NP_001737|NP_001350928|NP_001350925|NP_001350924|NP_001350927|NP_001350926|NP_001350923|NP_001350922|NP_001019820|NP_001350929|NP_001350930	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2693261	1489668	3856	4383915	110054	SARS-CoV-2	-	S	KRT8	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	Reconstituted Complex	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P05787	Q7L4M3	NP_002264|NP_001243211|NP_001243222	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2693262	1489668	3880	4383915	110078	SARS-CoV-2	-	S	KRT19	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CK19|K19|K1CS	Reconstituted Complex	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P08727	-	NP_002267	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2693263	1489668	60	4383915	106575	SARS-CoV-2	-	S	ACTB	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	BRWS1|PS1TP5BP1	Reconstituted Complex	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P60709	Q1KLZ0|B3KWQ3	NP_001092	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2693264	1489668	821	4383915	107271	SARS-CoV-2	-	S	CANX	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CNX|IP90|P90	Affinity Capture-Western	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P27824	-	NP_001737|NP_001350928|NP_001350925|NP_001350924|NP_001350927|NP_001350926|NP_001350923|NP_001350922|NP_001019820|NP_001350929|NP_001350930	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2693265	821	1489668	107271	4383915	-	SARS-CoV-2	CANX	S	CNX|IP90|P90	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Affinity Capture-Western	physical	Fukushi M (2012)	PUBMED:22915798	9606	694009	Low Throughput	-	-	-	-	BIOGRID	P27824	-	NP_001737|NP_001350928|NP_001350925|NP_001350924|NP_001350927|NP_001350926|NP_001350923|NP_001350922|NP_001019820|NP_001350929|NP_001350930	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2693266	1489668	821	4383915	107271	SARS-CoV-2	-	S	CANX	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	CNX|IP90|P90	Co-localization	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P27824	-	NP_001737|NP_001350928|NP_001350925|NP_001350924|NP_001350927|NP_001350926|NP_001350923|NP_001350922|NP_001019820|NP_001350929|NP_001350930	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2751468	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Zang J (2020)	PUBMED:32901211	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2751964	1489668	71	4383915	106586	SARS-CoV-2	-	S	ACTG1	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	Reconstituted Complex	physical	Fukushi M (2012)	PUBMED:22915798	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P63261	-	NP_001186883|NP_001605	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2755375	1489668	25921	4383915	117422	SARS-CoV-2	-	S	ZDHHC5	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	DHHC5|ZNF375	Affinity Capture-MS	physical	Stukalov A (2021)	PUBMED:33845483	694009	9606	High Throughput	7.465507641	-	Affinity capture-MS was carried out using HA-tagged viral proteins as baits in human A549 lung carcinoma cells. Significant interactions were identified as those where the prey protein was at least 4 times enriched against the background (median log2 score > 2) with a p-value <= 1E-3.	-	BIOGRID	P59594	-	NP_828851	Q9C0B5	A0A024R546	NP_056272	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
